Global step,Total sparsity,Total NNZ,rnn_decoder/rnn_initial_state/kernel,rnn_decoder/memory_layer/kernel,rnn_decoder/value_layer/kernel,rnn_decoder/output_projection/kernel,decoder/rnn_decoder/embedding_map,gru_cell/gates/kernel,gru_cell/candidate/kernel,MultiHeadAdd/query_layer/kernel,multi_head_attention_wrapper_v3/MultiHeadAdd/attention_v
531325,0.0000000,11255808,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
531325,0.9749997,281399,0.9461212,0.9944293,0.9890583,0.9760774,0.9863697,0.9712265,0.9234207,0.9949951,0.7558594
